FirstName,SecondName,ThirdName,LastName,IndividualAlias
Shaul Mofaz,,,,"Շաուլ Մոֆազ , Şaul Mofaz , Scha'ul Mofas , Мофаз  Шауль , شائول موفاز , シャウル・モファズ , שאול מופז , Šaul Mofaz , Шауль Мофаз , 沙乌尔·穆法兹 "
Josep Enric Dallerès,,,,
Yukihisa Fujita,,,,
José Fogaça,,,,José Alberto Fogaça de Medeiros 
Daur Tarba,,,,
Albert Ovsepyan,,,,
Viacheslav Tsugba,,,,
Semyon Grigoryev,,,,
Yann Gaillard,,,,
Yann Capet,,,,Капе  Ян 
Bizén Fuster Santaliestra,,,,
Yanick Paternotte,,,,"Яник Патернотт , Γιανίκ Πατερνότ "
Yamina Zoghlami,,,,يمينة الزغلامي 
Yahya Ould Hademine,,,,
Adil Abdul-Mahdi,,,,
Abel Pires,,,,
Xavier de Lesquen,,,,
Xavier Winkel,,,,
Xavier Pintat,,,,
Xavier Desgain,,,,
Xavier Beck,,,,
Xavier Baeselen,,,,
Xavier Luc Duval,,,,Duval  Charles Gaëtan Xavier-Luc 
Xaverine Karomba Mitimituje,,,,
Yusuf Saidu,,,,YUSUF MIGA SAIDU 
Jephthah Foingha,,,,FOINGHA JEPHTHA 
Edim Eta,,,,EDIM MBORA ETA 
Balarabe Abdullahi,,,,"ABDULLAHI SALAME BALARABE , BALARABE SALAME ABDULLAHI "
Emmanuel Yisa Orker-Jev,,,,"ORKER-JEV EMMANUEL YISA , EMMANUEL YISA ORKER-JEV "
Ali Isa,,,,Ali J. C Isa 
Isa Mohammed,,,,ISA HASSAN MOHAMMED 
Lawal B/Tudu,,,,"MUAZU B/TUDU LAWAL , LAWAL MUAZU B/TUDU "
Dayyabu Ahmed,,,,DAYYABU SAFANA AHMED 
Olamide Oni,,,,OLAMIDE JOHNSON ONI 
Sulaiman Romo,,,,SULAIMAN ALIYU ROMO 
Abubakar Lado,,,,ABUBAKAR ABDULLAHI LADO 
Fakeye Olufemi,,,,JULIUS OLUFEMI FAKEYE 
Muhammed Ali,,,,"MOHAMMAD ALI WUDIL , MUHAMMED WUDIL ALI "
Yusuf Tijani,,,,Yusuf Ahmed Tijani 
Adams Jagaba,,,,"JAGABA ADAMS JAGABA , ADAMS JAGABA JAGABA "
Ohiozojeh Akpatason,,,,"OHIOZOJEH PETER AKPATASON , PETER OHIOZOJEH AKPATASON "
Bello Abdullahi,,,,
Bello Sani,,,,BELLO MASHI SANI 
Kehinde Agboola,,,,Kehinde Emmanuel Agboola 
Khamisu Ahm Ahmed,,,,"KHAMISU MAILANTARKI AHMED , KHAMISU AHM MAILANTARKI AHMED "
Chukwuma Nwazunku,,,,
Eucharia Okwunna,,,,"AZODO OKWUNNA EUCHARIA , Eucharia Azodo Okwunna "
Nwokolo Victor,,,,"NWOKOLO O. VICTOR , NWOKOLO ONYEMECHI VICTOR "
Ibrahim Danmazari,,,,IBRAHIM MURTALA DANMAZARI 
Tasir Raji,,,,Tasir Olawale Raji 
Yusuf Buba,,,,YUSUF YAKUBU BUBA 
Abdullahi Mohammed,,,,"ABDULLAHI WAMAKKO MOHAMMED , ABDULLAHI MUHAMMED WAMAKKO "
Omar Tata,,,,
HENRY ARCHIBONG,,,,HENRY OKON ARCHIBONG 
Ngoro Agibe,,,,NGORO CHRISTOPHER AGIBE 
Albert Adeogun,,,,ALBERT ABIOBUN ADEOGUN 
Jagdish Tytler,,,,
E. V. K. S. Elangovan,,,,
S. S. Palanimanickam,,,,
C. Rangarajan,,,,
Y. S. Jaganmohan Reddy,,,,
Tony Valeri,,,,
Tony Tomassi,,,,
Tony Smets,,,,
Tony Martin,,,,
Tony Huntjens,,,,
Tony Dreyfus,,,,"Тони Дрейфус , توني دريفوس "
Tony Clement,,,,"トニー・クレメント , توني كليمنت , 甘禮明 , Клемент  Тони , 托尼·克莱芒 "
Toni Skarica,,,,
Tomáš Chalupa,,,,Chalupa  Tomáš 
Louis Caldera,,,,
Tom Wappel,,,,
Adam Kinzinger,,,,"آدم كنزنغر , アダム・キンジンガー , آدام کینزینگر , Kinzinger  Adam , אדם קינזינגר , Адам Кінзінгер "
Damjan Prelovšek,,,,
